log_id,user_id,timestamp,page,action,ip_address,device,country
L01509,U881,2026-04-01 00:12:44,/about-us,purchase,192.168.247.148,Tablet,Vietnam
L00296,U721,2026-04-01 00:34:32,/cart,purchase,192.168.243.133,Mobile,Vietnam
L00028,U795,2026-04-01 01:21:11,/cart,add_to_cart,192.168.74.246,Mobile,Vietnam
L00575,U592,2026-04-01 01:59:47,/checkout,add_to_cart,192.168.94.138,Mobile,Vietnam
L01756,U440,2026-04-01 02:03:05,/contact,view,192.168.117.54,Mobile,Vietnam
L00621,U430,2026-04-01 02:10:37,/home,add_to_cart,192.168.109.160,Mobile,USA
L01097,U161,2026-04-01 02:28:15,/product/p101,add_to_cart,192.168.139.182,Desktop,Vietnam
L01090,U754,2026-04-01 02:31:34,/blog,click,192.168.172.121,Mobile,Vietnam
L00881,U133,2026-04-01 02:57:44,/product/p100,view,192.168.228.17,Mobile,USA
L01880,U312,2026-04-01 03:07:24,/blog,view,192.168.79.164,Mobile,USA
L01186,U108,2026-04-01 03:15:57,/blog,click,192.168.70.42,Desktop,Vietnam
L01569,U270,2026-04-01 03:54:47,/home,view,192.168.203.244,Mobile,USA
L01025,U891,2026-04-01 05:05:08,/cart,view,192.168.252.103,Mobile,USA
L00874,U125,2026-04-01 05:15:04,/cart,view,192.168.79.209,Mobile,USA
L01438,U536,2026-04-01 05:37:47,/cart,click,192.168.112.161,Tablet,Singapore
L00968,U753,2026-04-01 06:20:24,/contact,add_to_cart,192.168.193.212,Mobile,Vietnam
L00201,U392,2026-04-01 06:42:01,/product/p100,view,192.168.255.28,Mobile,Vietnam
L00001,U195,2026-04-01 07:08:17,/contact,view,192.168.114.168,Mobile,Vietnam
L00325,U683,2026-04-01 07:09:03,/contact,add_to_cart,192.168.178.75,Desktop,Vietnam
L00394,U729,2026-04-01 07:16:00,/product/p100,view,192.168.37.89,Tablet,Korea
L01141,U694,2026-04-01 07:18:47,/contact,add_to_cart,192.168.17.95,Desktop,Singapore
L01118,U915,2026-04-01 07:35:24,/about-us,add_to_cart,192.168.36.113,Desktop,Vietnam
L01270,U713,2026-04-01 07:59:20,/product/p101,view,192.168.36.99,Mobile,Vietnam
L01938,U484,2026-04-01 08:07:24,/contact,view,192.168.124.213,Desktop,Vietnam
L01315,U765,2026-04-01 08:38:45,/product/p101,add_to_cart,192.168.182.68,Mobile,Vietnam
L00474,U600,2026-04-01 09:37:36,/cart,click,192.168.238.115,Mobile,Vietnam
L00555,U826,2026-04-01 09:41:41,/contact,add_to_cart,192.168.72.144,Mobile,Vietnam
L00642,U409,2026-04-01 09:52:25,/product/p101,view,192.168.126.197,Mobile,Vietnam
